Archivo;Back-Leg-Left;Back-Leg-Right;Backrest;Environment;Front-Leg-Left;Seat
A1_Eye-tracking.csv;0.2;0.0;0.0;7.800000000000001;0.2;0.0
C7_Eye-tracking.csv;0.0;0.2;1.5999999999999999;5.6000000000000005;0.0;1.2
