X;Y
0,1510392;0,2275926
0,1510392;0,2275926
0,1510392;0,2275926
0,1510392;0,2275926
0,1510392;0,2275926
0,1510392;0,2275926
0,1510392;0,2275926
0,1510392;0,2275926
0,1510392;0,2275926
0,1510392;0,2275926
0,1510392;0,2275926
0,1135251;-0,158082
0,08110964;-0,5009978
0,373071;-0,6149405
0,5448993;-0,6263535
0,5448993;-0,6263535
0,5448993;-0,6263535
0,5448993;-0,6263535
0,5448993;-0,6263535
0,5448993;-0,6263535
0,5448993;-0,6263535
0,5448993;-0,6263535
0,3793161;-0,6736773
0,0001956895;-0,7531858
-0,2993612;-0,7789512
-0,6632498;-0,6487181
-0,9553999;-0,4668655
-1,222704;-0,1901307
-1,349882;0,1751387
-1,439004;0,4630491
-1,540859;0,7920896
-1,642713;1,12113
-1,690705;1,421772
-1,307803;1,495228
-1,164819;1,17892
-1,227484;0,7989517
-1,556525;0,6970969
-1,657386;0,4405192
-1,5428;0,07034864
-1,440946;-0,2586918
-1,339092;-0,5877324
-1,313628;-0,6699925
-1,313628;-0,6699925
