X;Y
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
0,2642853;0,783488
