X;Y
0,1552188;0,6268969
0,1552188;0,6268969
0,1552188;0,6268969
0,1552188;0,6268969
0,01031621;0,3626963
-0,1382366;0,05194709
-0,1746287;-0,02609609
-0,1746287;-0,02609609
0,03844817;-0,05680092
0,3793712;-0,1059287
0,7196967;-0,1017725
0,9675621;0,1250667
1,069667;0,4539051
1,081967;0,4951662
1,081967;0,4951662
1,066759;0,8329098
0,9331371;1,196083
0,7191138;1,515127
0,4008027;1,640443
0,1094129;1,717432
0,1094129;1,717432
-0,01640586;1,746479
-0,3958686;1,688008
-0,6820987;1,500547
-0,8943053;1,08598
-0,9318358;0,8739996
-0,9318358;0,8739996
-0,9337986;0,6602544
-0,8587046;0,3190511
-1,006688;-0,1446389
-0,9893075;-0,5647934
-0,6835108;-0,719224
-0,3500946;-0,8040538
0,03125438;-0,8728222
0,1583797;-0,8956957
0,3280345;-0,9253054
0,7160233;-1,283516
1,095902;-1,759382
0,9243464;-2,130069
0,4724774;-2,296011
0,1017902;-2,124455
0,1021971;-1,734571
0,2689537;-1,406671
0,6496463;-1,102767
0,5495046;-0,6776382
0,2597766;-0,5081709
0,2597766;-0,5081709
0,2597766;-0,5081709
0,2597766;-0,5081709
