File,First_Seen_5_Consecutive,First_Seen_5_Consecutive_no_environment,Environment,Back-Leg-Left,Front-Leg-Left,Backrest,Seat,Back-Leg-Right
A1_Eye-tracking-PP.csv,Environment,Environment,7.800000000000001,0.2,0.2,,,
C7_Eye-tracking-PP.csv,Environment,Environment,5.6000000000000005,,,1.6,1.2000000000000002,0.2
