X;Y
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,5839536;0,5379185
0,6017401;0,4987085
0,6017401;0,4987085
0,6206144;0,4600104
0,6206144;0,4600104
0,6397584;0,4214451
0,6589024;0,3828797
0,6589024;0,3828797
0,6589024;0,3828797
0,6589024;0,3828797
0,6780464;0,3443143
0,6971904;0,305749
0,6971904;0,305749
0,7163344;0,2671836
0,7163344;0,2671836
0,7356129;0,2286853
0,7548915;0,190187
0,7548915;0,190187
0,7548915;0,190187
0,7548915;0,190187
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,77417;0,1516887
0,8115321;0,1730862
0,8115321;0,1730862
0,8488942;0,1944836
0,8488942;0,1944836
0,8488942;0,1944836
0,886106;0,2161414
0,886106;0,2161414
0,886106;0,2161414
0,9229342;0,2384454
0,9229342;0,2384454
0,9591252;0,2617689
0,9928676;0,2885128
0,9928676;0,2885128
0,9928676;0,2885128
0,9928676;0,2885128
1,024763;0,3174341
1,024763;0,3174341
1,024763;0,3174341
1,024763;0,3174341
1,024763;0,3174341
1,024763;0,3174341
1,024763;0,3174341
1,024763;0,3174341
1,055102;0,3479851
1,055102;0,3479851
1,083575;0,3802815
1,083575;0,3802815
1,083575;0,3802815
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,109366;0,4147574
1,122241;0,4558428
1,135117;0,4969282
1,135117;0,4969282
1,135117;0,4969282
1,135117;0,4969282
1,147992;0,5380135
1,160867;0,5790989
1,160867;0,5790989
1,160867;0,5790989
1,160867;0,5790989
1,173743;0,6201842
1,173743;0,6201842
1,186618;0,6612696
1,186618;0,6612696
1,186618;0,6612696
1,199206;0,7024438
1,211074;0,7438315
1,211074;0,7438315
1,211074;0,7438315
1,211074;0,7438315
1,222363;0,7853808
1,222363;0,7853808
1,232779;0,8271574
1,232779;0,8271574
1,232779;0,8271574
1,241436;0,8693336
1,249504;0,9116265
1,249504;0,9116265
1,256684;0,9540791
1,256684;0,9540791
1,263271;0,9966278
1,263271;0,9966278
1,263271;0,9966278
1,269264;1,039264
1,269264;1,039264
1,274511;1,081999
1,274511;1,081999
1,274511;1,081999
1,278712;1,124849
1,278712;1,124849
1,282315;1,167753
1,283817;1,210783
1,283817;1,210783
1,283817;1,210783
1,283817;1,210783
1,284869;1,253825
1,284569;1,29688
1,284569;1,29688
1,282015;1,33986
1,282015;1,33986
1,277963;1,382724
1,277963;1,382724
1,277963;1,382724
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,273313;1,425528
1,274065;1,382479
1,274065;1,382479
1,273464;1,339427
1,272412;1,296385
1,272412;1,296385
1,272412;1,296385
1,270459;1,253374
1,270459;1,253374
1,267755;1,210403
1,267755;1,210403
1,262508;1,167668
1,262508;1,167668
1,262508;1,167668
1,256367;1,125053
1,256367;1,125053
1,24771;1,082877
1,24771;1,082877
1,24771;1,082877
1,236857;1,041212
1,236857;1,041212
1,224412;0,9999937
1,224412;0,9999937
1,209404;0,9596385
1,209404;0,9596385
1,209404;0,9596385
1,193975;0,9194427
1,177985;0,8794662
1,177985;0,8794662
1,161301;0,8397748
1,161301;0,8397748
1,144339;0,8002009
1,126827;0,7608677
1,126827;0,7608677
1,108767;0,7217829
1,108767;0,7217829
1,108767;0,7217829
1,090164;0,682954
1,090164;0,682954
1,071289;0,6442559
1,071289;0,6442559
1,050943;0,6063108
1,050943;0,6063108
1,050943;0,6063108
1,03007;0,5686536
1,03007;0,5686536
1,03007;0,5686536
1,008282;0,5315176
1,008282;0,5315176
0,9838334;0,496077
0,9838334;0,496077
0,9576825;0,461873
0,9303538;0,4286025
0,9303538;0,4286025
0,9303538;0,4286025
0,9303538;0,4286025
0,9017681;0,3964056
0,8720762;0,365226
0,8720762;0,365226
0,8403832;0,3360827
0,8403832;0,3360827
0,8073043;0,3085224
0,7731919;0,2822523
0,7731919;0,2822523
0,7380961;0,257311
0,7380961;0,257311
0,7022343;0,2334844
0,7022343;0,2334844
0,7022343;0,2334844
0,6655627;0,2109238
0,6655627;0,2109238
0,6655627;0,2109238
0,6655627;0,2109238
0,6284267;0,1891363
0,5897286;0,1702619
0,5897286;0,1702619
0,5897286;0,1702619
0,5495328;0,1548322
0,5495328;0,1548322
0,5495328;0,1548322
0,5495328;0,1548322
0,5087261;0,1410992
0,5087261;0,1410992
0,5087261;0,1410992
0,4670609;0,1302462
0,4670609;0,1302462
0,4246858;0,1226217
